"Labour force characteristics by province, monthly, seasonally adjusted 1 2 3",,,,,,,,
Monthly,,,,,,,,
Table: 14-10-0287-03 (formerly CANSIM 282-0087),,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,
,,,,,,,,
,,Both sexes,,,,,,
,,15 years and over,,,,,,
,,Estimate,,,,,,
,,Seasonally adjusted,,,,,,
Geography 4,Labour force characteristics,Apr-19,Mar-20,Apr-20,April 2019 to April 2020,March 2020 to April 2020,March 2020 to April 2020,April 2019 to April 2020
Canada,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6","30,625.80","31,074.00","31,094.70",468.9,20.7,0.1,1.5
,"Labour force (x 1,000) 7","20,196.20","19,725.70","18,603.20","-1,593.00","-1,122.50",-5.7,-7.9
,"Employment (x 1,000) 8","19,041.60","18,178.70","16,184.90","-2,856.70","-1,993.80",-11,-15
,"Full-time employment (x 1,000) 9","15,430.70","15,134.80","13,662.80","-1,767.90","-1,472.00",-9.7,-11.5
,"Part-time employment  (x 1,000) 10","3,610.90","3,043.90","2,522.00","-1,088.90",-521.9,-17.1,-30.2
,"Unemployment (x 1,000) 11","1,154.60","1,547.00","2,418.30","1,263.70",871.3,56.3,109.4
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,5.7,7.8,13,7.3,5.2,...,...
,Participation rate 13,65.9,63.5,59.8,-6.1,-3.7,...,...
,Employment rate 14,62.2,58.5,52.1,-10.1,-6.4,...,...
Newfoundland and Labrador,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6",441.2,439.8,439.7,-1.5,-0.1,0,-0.3
,"Labour force (x 1,000) 7",259.1,246.3,224.1,-35,-22.2,-9,-13.5
,"Employment (x 1,000) 8",228.5,217.4,188.2,-40.3,-29.2,-13.4,-17.6
,"Full-time employment (x 1,000) 9",193.8,186.9,159.6,-34.2,-27.3,-14.6,-17.6
,"Part-time employment  (x 1,000) 10",34.7,30.4,28.7,-6,-1.7,-5.6,-17.3
,"Unemployment (x 1,000) 11",30.6,28.9,35.8,5.2,6.9,23.9,17
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,11.8,11.7,16,4.2,4.3,...,...
,Participation rate 13,58.7,56,51,-7.7,-5,...,...
,Employment rate 14,51.8,49.4,42.8,-9,-6.6,...,...
Prince Edward Island,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6",127.8,130.7,130.9,3.1,0.2,0.2,2.4
,"Labour force (x 1,000) 7",85.1,85.9,77.7,-7.4,-8.2,-9.5,-8.7
,"Employment (x 1,000) 8",77.9,78.5,69.3,-8.6,-9.2,-11.7,-11
,"Full-time employment (x 1,000) 9",65.6,67.3,60.2,-5.4,-7.1,-10.5,-8.2
,"Part-time employment  (x 1,000) 10",12.3,11.2,9.1,-3.2,-2.1,-18.8,-26
,"Unemployment (x 1,000) 11",7.3,7.4,8.4,1.1,1,13.5,15.1
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,8.6,8.6,10.8,2.2,2.2,...,...
,Participation rate 13,66.6,65.7,59.4,-7.2,-6.3,...,...
,Employment rate 14,61,60.1,52.9,-8.1,-7.2,...,...
Nova Scotia,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6",804.5,814.3,814.8,10.3,0.5,0.1,1.3
,"Labour force (x 1,000) 7",499.9,490.2,449.6,-50.3,-40.6,-8.3,-10.1
,"Employment (x 1,000) 8",465.2,446.2,395.6,-69.6,-50.6,-11.3,-15
,"Full-time employment (x 1,000) 9",377.9,372.6,333.8,-44.1,-38.8,-10.4,-11.7
,"Part-time employment  (x 1,000) 10",87.3,73.6,61.8,-25.5,-11.8,-16,-29.2
,"Unemployment (x 1,000) 11",34.7,44.1,54,19.3,9.9,22.4,55.6
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,6.9,9,12,5.1,3,...,...
,Participation rate 13,62.1,60.2,55.2,-6.9,-5,...,...
,Employment rate 14,57.8,54.8,48.6,-9.2,-6.2,...,...
New Brunswick,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6",629.9,635.3,635.7,5.8,0.4,0.1,0.9
,"Labour force (x 1,000) 7",386.9,379.2,358.7,-28.2,-20.5,-5.4,-7.3
,"Employment (x 1,000) 8",355.9,345.8,311.4,-44.5,-34.4,-9.9,-12.5
,"Full-time employment (x 1,000) 9",298.9,300.1,272.2,-26.7,-27.9,-9.3,-8.9
,"Part-time employment  (x 1,000) 10",57,45.7,39.3,-17.7,-6.4,-14,-31.1
,"Unemployment (x 1,000) 11",30.9,33.3,47.2,16.3,13.9,41.7,52.8
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,8,8.8,13.2,5.2,4.4,...,...
,Participation rate 13,61.4,59.7,56.4,-5,-3.3,...,...
,Employment rate 14,56.5,54.4,49,-7.5,-5.4,...,...
