"Labour force characteristics by province, monthly, seasonally adjusted 1 2 3",,,,,,,,
Monthly,,,,,,,,
Table: 14-10-0287-03 (formerly CANSIM 282-0087),,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,
,,,,,,,,
,,Both sexes,,,,,,
,,15 years and over,,,,,,
,,Estimate,,,,,,
,,Seasonally adjusted,,,,,,
Geography 4,Labour force characteristics,Aug-19,Jul-20,Aug-20,August 2019 to August 2020,July 2020 to August 2020,July 2020 to August 2020,August 2019 to August 2020
Canada,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6","30,803.80","31,171.50","31,193.50",389.7,22,0.1,1.3
,"Labour force (x 1,000) 7","20,273.00","20,029.50","20,138.60",-134.4,109.1,0.5,-0.7
,"Employment (x 1,000) 8","19,113.30","17,845.90","18,091.70","-1,021.60",245.8,1.4,-5.3
,"Full-time employment (x 1,000) 9","15,484.10","14,443.50","14,649.30",-834.8,205.8,1.4,-5.4
,"Part-time employment  (x 1,000) 10","3,629.30","3,402.40","3,442.40",-186.9,40,1.2,-5.1
,"Unemployment (x 1,000) 11","1,159.70","2,183.60","2,046.90",887.2,-136.7,-6.3,76.5
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,5.7,10.9,10.2,4.5,-0.7,...,...
,Participation rate 13,65.8,64.3,64.6,-1.2,0.3,...,...
,Employment rate 14,62,57.3,58,-4,0.7,...,...
Newfoundland and Labrador,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6",439.9,439.3,439.3,-0.6,0,0,-0.1
,"Labour force (x 1,000) 7",258.2,247.1,244.6,-13.6,-2.5,-1,-5.3
,"Employment (x 1,000) 8",224.9,208.5,212.5,-12.4,4,1.9,-5.5
,"Full-time employment (x 1,000) 9",190.1,173.6,175.8,-14.3,2.2,1.3,-7.5
,"Part-time employment  (x 1,000) 10",34.8,34.9,36.7,1.9,1.8,5.2,5.5
,"Unemployment (x 1,000) 11",33.3,38.6,32.1,-1.2,-6.5,-16.8,-3.6
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,12.9,15.6,13.1,0.2,-2.5,...,...
,Participation rate 13,58.7,56.2,55.7,-3,-0.5,...,...
,Employment rate 14,51.1,47.5,48.4,-2.7,0.9,...,...
Prince Edward Island,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6",129.3,131.6,131.7,2.4,0.1,0.1,1.9
,"Labour force (x 1,000) 7",86.2,84.7,85.3,-0.9,0.6,0.7,-1
,"Employment (x 1,000) 8",78.6,74.7,76.3,-2.3,1.6,2.1,-2.9
,"Full-time employment (x 1,000) 9",66.6,61.8,63.7,-2.9,1.9,3.1,-4.4
,"Part-time employment  (x 1,000) 10",12.1,12.9,12.6,0.5,-0.3,-2.3,4.1
,"Unemployment (x 1,000) 11",7.6,9.9,9.1,1.5,-0.8,-8.1,19.7
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,8.8,11.7,10.7,1.9,-1,...,...
,Participation rate 13,66.7,64.4,64.8,-1.9,0.4,...,...
,Employment rate 14,60.8,56.8,57.9,-2.9,1.1,...,...
Nova Scotia,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6",808.6,816.9,817.7,9.1,0.8,0.1,1.1
,"Labour force (x 1,000) 7",504,489.2,494.5,-9.5,5.3,1.1,-1.9
,"Employment (x 1,000) 8",464.1,436.5,443.7,-20.4,7.2,1.6,-4.4
,"Full-time employment (x 1,000) 9",377.5,357.5,355.9,-21.6,-1.6,-0.4,-5.7
,"Part-time employment  (x 1,000) 10",86.6,78.9,87.8,1.2,8.9,11.3,1.4
,"Unemployment (x 1,000) 11",39.9,52.8,50.8,10.9,-2,-3.8,27.3
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,7.9,10.8,10.3,2.4,-0.5,...,...
,Participation rate 13,62.3,59.9,60.5,-1.8,0.6,...,...
,Employment rate 14,57.4,53.4,54.3,-3.1,0.9,...,...
New Brunswick,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6",632.4,636.7,637,4.6,0.3,0,0.7
,"Labour force (x 1,000) 7",390.1,386.6,384.1,-6,-2.5,-0.6,-1.5
,"Employment (x 1,000) 8",356.9,348.6,347.9,-9,-0.7,-0.2,-2.5
,"Full-time employment (x 1,000) 9",303.4,292.7,293.1,-10.3,0.4,0.1,-3.4
,"Part-time employment  (x 1,000) 10",53.5,55.9,54.7,1.2,-1.2,-2.1,2.2
,"Unemployment (x 1,000) 11",33.2,38,36.2,3,-1.8,-4.7,9
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,8.5,9.8,9.4,0.9,-0.4,...,...
,Participation rate 13,61.7,60.7,60.3,-1.4,-0.4,...,...
,Employment rate 14,56.4,54.8,54.6,-1.8,-0.2,...,...
Quebec,,Persons,,,,,Percentage change,
