"Labour force characteristics by province, monthly, seasonally adjusted 1 2 3",,,,,,,,
Monthly,,,,,,,,
Table: 14-10-0287-03 (formerly CANSIM 282-0087),,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,
,,,,,,,,
,,Both sexes,,,,,,
,,15 years and over,,,,,,
,,Estimate,,,,,,
,,Seasonally adjusted,,,,,,
Geography 4,Labour force characteristics,Dec-18,Nov-19,Dec-19,December 2018 to December 2019,November 2019 to December 2019,November 2019 to December 2019,December 2018 to December 2019
Canada,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6","30,485.20","30,932.80","30,964.70",479.5,31.9,0.1,1.6
,"Labour force (x 1,000) 7","19,960.30","20,289.30","20,267.70",307.4,-21.6,-0.1,1.5
,"Employment (x 1,000) 8","18,824.70","19,097.30","19,124.60",299.9,27.3,0.1,1.6
,"Full-time employment (x 1,000) 9","15,271.10","15,501.60","15,535.50",264.4,33.9,0.2,1.7
,"Part-time employment  (x 1,000) 10","3,553.60","3,595.60","3,589.10",35.5,-6.5,-0.2,1
,"Unemployment (x 1,000) 11","1,135.60","1,192.10","1,143.20",7.6,-48.9,-4.1,0.7
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,5.7,5.9,5.6,-0.1,-0.3,...,...
,Participation rate 13,65.5,65.6,65.5,0,-0.1,...,...
,Employment rate 14,61.8,61.7,61.8,0,0.1,...,...
Newfoundland and Labrador,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6",442.2,439.9,439.8,-2.4,-0.1,0,-0.5
,"Labour force (x 1,000) 7",258.1,254.7,251.3,-6.8,-3.4,-1.3,-2.6
,"Employment (x 1,000) 8",228.5,225.8,221.7,-6.8,-4.1,-1.8,-3
,"Full-time employment (x 1,000) 9",191.6,188.7,185.9,-5.7,-2.8,-1.5,-3
,"Part-time employment  (x 1,000) 10",37,37.1,35.8,-1.2,-1.3,-3.5,-3.2
,"Unemployment (x 1,000) 11",29.6,28.8,29.6,0,0.8,2.8,0
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,11.5,11.3,11.8,0.3,0.5,...,...
,Participation rate 13,58.4,57.9,57.1,-1.3,-0.8,...,...
,Employment rate 14,51.7,51.3,50.4,-1.3,-0.9,...,...
Prince Edward Island,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6",126.7,129.9,130.1,3.4,0.2,0.2,2.7
,"Labour force (x 1,000) 7",83.4,86,86.9,3.5,0.9,1,4.2
,"Employment (x 1,000) 8",75.4,79.1,80,4.6,0.9,1.1,6.1
,"Full-time employment (x 1,000) 9",64.2,67,68.2,4,1.2,1.8,6.2
,"Part-time employment  (x 1,000) 10",11.2,12.1,11.8,0.6,-0.3,-2.5,5.4
,"Unemployment (x 1,000) 11",8,6.9,6.9,-1.1,0,0,-13.8
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,9.6,8,7.9,-1.7,-0.1,...,...
,Participation rate 13,65.8,66.2,66.8,1,0.6,...,...
,Employment rate 14,59.5,60.9,61.5,2,0.6,...,...
Nova Scotia,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6",802.3,811.6,812.4,10.1,0.8,0.1,1.3
,"Labour force (x 1,000) 7",495.1,506.6,505.4,10.3,-1.2,-0.2,2.1
,"Employment (x 1,000) 8",461,466.8,465.6,4.6,-1.2,-0.3,1
,"Full-time employment (x 1,000) 9",378.6,381.5,382.6,4,1.1,0.3,1.1
,"Part-time employment  (x 1,000) 10",82.5,85.3,83,0.5,-2.3,-2.7,0.6
,"Unemployment (x 1,000) 11",34.1,39.8,39.7,5.6,-0.1,-0.3,16.4
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,6.9,7.9,7.9,1,0,...,...
,Participation rate 13,61.7,62.4,62.2,0.5,-0.2,...,...
,Employment rate 14,57.5,57.5,57.3,-0.2,-0.2,...,...
New Brunswick,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6",628.5,634.1,634.4,5.9,0.3,0,0.9
,"Labour force (x 1,000) 7",384.8,385,385,0.2,0,0,0.1
,"Employment (x 1,000) 8",352.3,354.8,356.3,4,1.5,0.4,1.1
,"Full-time employment (x 1,000) 9",299.9,302,306.8,6.9,4.8,1.6,2.3
,"Part-time employment  (x 1,000) 10",52.4,52.8,49.5,-2.9,-3.3,-6.3,-5.5
,"Unemployment (x 1,000) 11",32.6,30.3,28.7,-3.9,-1.6,-5.3,-12
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,8.5,7.9,7.5,-1,-0.4,...,...
,Participation rate 13,61.2,60.7,60.7,-0.5,0,...,...
,Employment rate 14,56.1,56,56.2,0.1,0.2,...,...
Quebec,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6","7,017.70","7,077.00","7,083.00",65.3,6,0.1,0.9
