"Labour force characteristics by province, monthly, seasonally adjusted 1 2 3",,,,,,,,
Monthly,,,,,,,,
Table: 14-10-0287-03 (formerly CANSIM 282-0087),,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,
,,,,,,,,
,,Both sexes,,,,,,
,,15 years and over,,,,,,
,,Estimate,,,,,,
,,Seasonally adjusted,,,,,,
Geography 4,Labour force characteristics,Feb-19,Jan-20,Feb-20,February 2019 to February 2020,January 2020 to February 2020,January 2020 to February 2020,February 2019 to February 2020
Canada,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6","30,552.60","30,995.40","31,027.70",475.1,32.3,0.1,1.6
,"Labour force (x 1,000) 7","20,104.10","20,283.50","20,323.20",219.1,39.7,0.2,1.1
,"Employment (x 1,000) 8","18,944.10","19,159.10","19,189.40",245.3,30.3,0.2,1.3
,"Full-time employment (x 1,000) 9","15,356.80","15,571.20","15,608.80",252,37.6,0.2,1.6
,"Part-time employment  (x 1,000) 10","3,587.30","3,587.90","3,580.60",-6.7,-7.3,-0.2,-0.2
,"Unemployment (x 1,000) 11","1,160.00","1,124.40","1,133.80",-26.2,9.4,0.8,-2.3
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,5.8,5.5,5.6,-0.2,0.1,...,...
,Participation rate 13,65.8,65.4,65.5,-0.3,0.1,...,...
,Employment rate 14,62,61.8,61.8,-0.2,0,...,...
Newfoundland and Labrador,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6",441.7,439.8,439.7,-2,-0.1,0,-0.5
,"Labour force (x 1,000) 7",261.5,252.5,253.5,-8,1,0.4,-3.1
,"Employment (x 1,000) 8",230.6,222.5,223.2,-7.4,0.7,0.3,-3.2
,"Full-time employment (x 1,000) 9",196,187.7,185.8,-10.2,-1.9,-1,-5.2
,"Part-time employment  (x 1,000) 10",34.6,34.8,37.4,2.8,2.6,7.5,8.1
,"Unemployment (x 1,000) 11",30.9,30,30.3,-0.6,0.3,1,-1.9
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,11.8,11.9,12,0.2,0.1,...,...
,Participation rate 13,59.2,57.4,57.7,-1.5,0.3,...,...
,Employment rate 14,52.2,50.6,50.8,-1.4,0.2,...,...
Prince Edward Island,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6",127.2,130.2,130.4,3.2,0.2,0.2,2.5
,"Labour force (x 1,000) 7",83.7,86.8,87.6,3.9,0.8,0.9,4.7
,"Employment (x 1,000) 8",75.3,80.3,80.6,5.3,0.3,0.4,7
,"Full-time employment (x 1,000) 9",63.6,68.4,68.5,4.9,0.1,0.1,7.7
,"Part-time employment  (x 1,000) 10",11.7,11.9,12.2,0.5,0.3,2.5,4.3
,"Unemployment (x 1,000) 11",8.4,6.5,7,-1.4,0.5,7.7,-16.7
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,10,7.5,8,-2,0.5,...,...
,Participation rate 13,65.8,66.7,67.2,1.4,0.5,...,...
,Employment rate 14,59.2,61.7,61.8,2.6,0.1,...,...
Nova Scotia,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6",803.4,813,813.6,10.2,0.6,0.1,1.3
,"Labour force (x 1,000) 7",498.7,504.5,510.9,12.2,6.4,1.3,2.4
,"Employment (x 1,000) 8",466.9,467.3,471,4.1,3.7,0.8,0.9
,"Full-time employment (x 1,000) 9",382.1,382.3,380.3,-1.8,-2,-0.5,-0.5
,"Part-time employment  (x 1,000) 10",84.7,85,90.7,6,5.7,6.7,7.1
,"Unemployment (x 1,000) 11",31.9,37.2,39.8,7.9,2.6,7,24.8
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,6.4,7.4,7.8,1.4,0.4,...,...
,Participation rate 13,62.1,62.1,62.8,0.7,0.7,...,...
,Employment rate 14,58.1,57.5,57.9,-0.2,0.4,...,...
New Brunswick,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6",628.9,634.6,635,6.1,0.4,0.1,1
,"Labour force (x 1,000) 7",389.5,390.1,387.9,-1.6,-2.2,-0.6,-0.4
,"Employment (x 1,000) 8",356.9,360.9,361,4.1,0.1,0,1.1
,"Full-time employment (x 1,000) 9",302.9,308.6,310.1,7.2,1.5,0.5,2.4
,"Part-time employment  (x 1,000) 10",53.9,52.3,50.9,-3,-1.4,-2.7,-5.6
,"Unemployment (x 1,000) 11",32.6,29.2,26.9,-5.7,-2.3,-7.9,-17.5
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,8.4,7.5,6.9,-1.5,-0.6,...,...
,Participation rate 13,61.9,61.5,61.1,-0.8,-0.4,...,...
,Employment rate 14,56.7,56.9,56.9,0.2,0,...,...
Quebec,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6","7,026.90","7,089.10","7,095.00",68.1,5.9,0.1,1
