"Labour force characteristics by province, monthly, seasonally adjusted 1 2 3",,,,,,,,
Monthly,,,,,,,,
Table: 14-10-0287-03 (formerly CANSIM 282-0087),,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,
,,,,,,,,
,,Both sexes,,,,,,
,,15 years and over,,,,,,
,,Estimate,,,,,,
,,Seasonally adjusted,,,,,,
Geography 4,Labour force characteristics,Jan-19,Dec-19,Jan-20,January 2019 to January 2020,December 2019 to January 2020,December 2019 to January 2020,January 2019 to January 2020
Canada,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6","30,526.60","30,964.70","30,995.40",468.8,30.7,0.1,1.5
,"Labour force (x 1,000) 7","20,053.80","20,267.70","20,283.50",229.7,15.8,0.1,1.1
,"Employment (x 1,000) 8","18,891.40","19,124.60","19,159.10",267.7,34.5,0.2,1.4
,"Full-time employment (x 1,000) 9","15,295.50","15,535.50","15,571.20",275.7,35.7,0.2,1.8
,"Part-time employment  (x 1,000) 10","3,595.90","3,589.10","3,587.90",-8,-1.2,0,-0.2
,"Unemployment (x 1,000) 11","1,162.40","1,143.20","1,124.40",-38,-18.8,-1.6,-3.3
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,5.8,5.6,5.5,-0.3,-0.1,...,...
,Participation rate 13,65.7,65.5,65.4,-0.3,-0.1,...,...
,Employment rate 14,61.9,61.8,61.8,-0.1,0,...,...
Newfoundland and Labrador,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6",441.9,439.8,439.8,-2.1,0,0,-0.5
,"Labour force (x 1,000) 7",262.2,251.3,252.5,-9.7,1.2,0.5,-3.7
,"Employment (x 1,000) 8",232.3,221.7,222.5,-9.8,0.8,0.4,-4.2
,"Full-time employment (x 1,000) 9",196.7,185.9,187.7,-9,1.8,1,-4.6
,"Part-time employment  (x 1,000) 10",35.5,35.8,34.8,-0.7,-1,-2.8,-2
,"Unemployment (x 1,000) 11",29.9,29.6,30,0.1,0.4,1.4,0.3
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,11.4,11.8,11.9,0.5,0.1,...,...
,Participation rate 13,59.3,57.1,57.4,-1.9,0.3,...,...
,Employment rate 14,52.6,50.4,50.6,-2,0.2,...,...
Prince Edward Island,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6",126.9,130.1,130.2,3.3,0.1,0.1,2.6
,"Labour force (x 1,000) 7",83.6,86.9,86.8,3.2,-0.1,-0.1,3.8
,"Employment (x 1,000) 8",75.5,80,80.3,4.8,0.3,0.4,6.4
,"Full-time employment (x 1,000) 9",64.3,68.2,68.4,4.1,0.2,0.3,6.4
,"Part-time employment  (x 1,000) 10",11.2,11.8,11.9,0.7,0.1,0.8,6.3
,"Unemployment (x 1,000) 11",8,6.9,6.5,-1.5,-0.4,-5.8,-18.8
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,9.6,7.9,7.5,-2.1,-0.4,...,...
,Participation rate 13,65.9,66.8,66.7,0.8,-0.1,...,...
,Employment rate 14,59.5,61.5,61.7,2.2,0.2,...,...
Nova Scotia,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6",803,812.4,813,10,0.6,0.1,1.2
,"Labour force (x 1,000) 7",499.2,505.4,504.5,5.3,-0.9,-0.2,1.1
,"Employment (x 1,000) 8",465.6,465.6,467.3,1.7,1.7,0.4,0.4
,"Full-time employment (x 1,000) 9",381.1,382.6,382.3,1.2,-0.3,-0.1,0.3
,"Part-time employment  (x 1,000) 10",84.6,83,85,0.4,2,2.4,0.5
,"Unemployment (x 1,000) 11",33.6,39.7,37.2,3.6,-2.5,-6.3,10.7
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,6.7,7.9,7.4,0.7,-0.5,...,...
,Participation rate 13,62.2,62.2,62.1,-0.1,-0.1,...,...
,Employment rate 14,58,57.3,57.5,-0.5,0.2,...,...
New Brunswick,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6",628.9,634.4,634.6,5.7,0.2,0,0.9
,"Labour force (x 1,000) 7",387,385,390.1,3.1,5.1,1.3,0.8
,"Employment (x 1,000) 8",355.6,356.3,360.9,5.3,4.6,1.3,1.5
,"Full-time employment (x 1,000) 9",303.8,306.8,308.6,4.8,1.8,0.6,1.6
,"Part-time employment  (x 1,000) 10",51.8,49.5,52.3,0.5,2.8,5.7,1
,"Unemployment (x 1,000) 11",31.4,28.7,29.2,-2.2,0.5,1.7,-7
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,8.1,7.5,7.5,-0.6,0,...,...
,Participation rate 13,61.5,60.7,61.5,0,0.8,...,...
,Employment rate 14,56.5,56.2,56.9,0.4,0.7,...,...
Quebec,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6","7,023.30","7,083.00","7,089.10",65.8,6.1,0.1,0.9
