"Labour force characteristics by province, monthly, seasonally adjusted 1 2 3",,,,,,,,
Monthly,,,,,,,,
Table: 14-10-0287-03 (formerly CANSIM 282-0087),,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,
,,,,,,,,
,,Both sexes,,,,,,
,,15 years and over,,,,,,
,,Estimate,,,,,,
,,Seasonally adjusted,,,,,,
Geography 4,Labour force characteristics,Jul-19,Jun-20,Jul-20,July 2019 to July 2020,June 2020 to July 2020,June 2020 to July 2020,July 2019 to July 2020
Canada,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6","30,761.90","31,146.70","31,171.50",409.6,24.8,0.1,1.3
,"Labour force (x 1,000) 7","20,191.20","19,880.00","20,029.50",-161.7,149.5,0.8,-0.8
,"Employment (x 1,000) 8","19,037.90","17,427.40","17,845.90","-1,192.00",418.5,2.4,-6.3
,"Full-time employment (x 1,000) 9","15,461.40","14,370.30","14,443.50","-1,017.90",73.2,0.5,-6.6
,"Part-time employment  (x 1,000) 10","3,576.50","3,057.10","3,402.40",-174.1,345.3,11.3,-4.9
,"Unemployment (x 1,000) 11","1,153.30","2,452.60","2,183.60","1,030.30",-269,-11,89.3
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,5.7,12.3,10.9,5.2,-1.4,...,...
,Participation rate 13,65.6,63.8,64.3,-1.3,0.5,...,...
,Employment rate 14,61.9,56,57.3,-4.6,1.3,...,...
Newfoundland and Labrador,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6",440.1,439.3,439.3,-0.8,0,0,-0.2
,"Labour force (x 1,000) 7",257.9,244.3,247.1,-10.8,2.8,1.1,-4.2
,"Employment (x 1,000) 8",225.3,204.2,208.5,-16.8,4.3,2.1,-7.5
,"Full-time employment (x 1,000) 9",193.9,168.5,173.6,-20.3,5.1,3,-10.5
,"Part-time employment  (x 1,000) 10",31.5,35.7,34.9,3.4,-0.8,-2.2,10.8
,"Unemployment (x 1,000) 11",32.6,40.2,38.6,6,-1.6,-4,18.4
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,12.6,16.5,15.6,3,-0.9,...,...
,Participation rate 13,58.6,55.6,56.2,-2.4,0.6,...,...
,Employment rate 14,51.2,46.5,47.5,-3.7,1,...,...
Prince Edward Island,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6",129,131.3,131.6,2.6,0.3,0.2,2
,"Labour force (x 1,000) 7",85.9,86.7,84.7,-1.2,-2,-2.3,-1.4
,"Employment (x 1,000) 8",78.7,73.6,74.7,-4,1.1,1.5,-5.1
,"Full-time employment (x 1,000) 9",66.2,63.1,61.8,-4.4,-1.3,-2.1,-6.6
,"Part-time employment  (x 1,000) 10",12.6,10.5,12.9,0.3,2.4,22.9,2.4
,"Unemployment (x 1,000) 11",7.2,13.2,9.9,2.7,-3.3,-25,37.5
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,8.4,15.2,11.7,3.3,-3.5,...,...
,Participation rate 13,66.6,66,64.4,-2.2,-1.6,...,...
,Employment rate 14,61,56.1,56.8,-4.2,0.7,...,...
Nova Scotia,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6",807.4,816.1,816.9,9.5,0.8,0.1,1.2
,"Labour force (x 1,000) 7",499.9,497.7,489.2,-10.7,-8.5,-1.7,-2.1
,"Employment (x 1,000) 8",462.6,433.1,436.5,-26.1,3.4,0.8,-5.6
,"Full-time employment (x 1,000) 9",377.8,358.2,357.5,-20.3,-0.7,-0.2,-5.4
,"Part-time employment  (x 1,000) 10",84.8,74.9,78.9,-5.9,4,5.3,-7
,"Unemployment (x 1,000) 11",37.3,64.6,52.8,15.5,-11.8,-18.3,41.6
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,7.5,13,10.8,3.3,-2.2,...,...
,Participation rate 13,61.9,61,59.9,-2,-1.1,...,...
,Employment rate 14,57.3,53.1,53.4,-3.9,0.3,...,...
New Brunswick,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6",631.7,636.4,636.7,5,0.3,0,0.8
,"Labour force (x 1,000) 7",388.1,389.1,386.6,-1.5,-2.5,-0.6,-0.4
,"Employment (x 1,000) 8",355.1,350.4,348.6,-6.5,-1.8,-0.5,-1.8
,"Full-time employment (x 1,000) 9",299.4,296.4,292.7,-6.7,-3.7,-1.2,-2.2
,"Part-time employment  (x 1,000) 10",55.7,54,55.9,0.2,1.9,3.5,0.4
,"Unemployment (x 1,000) 11",33,38.7,38,5,-0.7,-1.8,15.2
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,8.5,9.9,9.8,1.3,-0.1,...,...
,Participation rate 13,61.4,61.1,60.7,-0.7,-0.4,...,...
,Employment rate 14,56.2,55.1,54.8,-1.4,-0.3,...,...
Quebec,,Persons,,,,,Percentage change,
