"Labour force characteristics by province, monthly, seasonally adjusted 1 2 3",,,,,,,,
Monthly,,,,,,,,
Table: 14-10-0287-03 (formerly CANSIM 282-0087),,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,
,,,,,,,,
,,Both sexes,,,,,,
,,15 years and over,,,,,,
,,Estimate,,,,,,
,,Seasonally adjusted,,,,,,
Geography 4,Labour force characteristics,Jun-19,May-20,Jun-20,June 2019 to June 2020,May 2020 to June 2020,May 2020 to June 2020,June 2019 to June 2020
Canada,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6","30,706.50","31,114.30","31,146.70",440.2,32.4,0.1,1.4
,"Labour force (x 1,000) 7","20,174.00","19,093.70","19,880.00",-294,786.3,4.1,-1.5
,"Employment (x 1,000) 8","19,051.20","16,474.50","17,427.40","-1,623.80",952.9,5.8,-8.5
,"Full-time employment (x 1,000) 9","15,464.40","13,882.20","14,370.30","-1,094.10",488.1,3.5,-7.1
,"Part-time employment  (x 1,000) 10","3,586.80","2,592.30","3,057.10",-529.7,464.8,17.9,-14.8
,"Unemployment (x 1,000) 11","1,122.90","2,619.20","2,452.60","1,329.70",-166.6,-6.4,118.4
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,5.6,13.7,12.3,6.7,-1.4,...,...
,Participation rate 13,65.7,61.4,63.8,-1.9,2.4,...,...
,Employment rate 14,62,52.9,56,-6,3.1,...,...
Newfoundland and Labrador,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6",440.4,439.4,439.3,-1.1,-0.1,0,-0.2
,"Labour force (x 1,000) 7",258.4,236.9,244.3,-14.1,7.4,3.1,-5.5
,"Employment (x 1,000) 8",224.5,198.2,204.2,-20.3,6,3,-9
,"Full-time employment (x 1,000) 9",193.9,168.7,168.5,-25.4,-0.2,-0.1,-13.1
,"Part-time employment  (x 1,000) 10",30.6,29.5,35.7,5.1,6.2,21,16.7
,"Unemployment (x 1,000) 11",33.9,38.7,40.2,6.3,1.5,3.9,18.6
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,13.1,16.3,16.5,3.4,0.2,...,...
,Participation rate 13,58.7,53.9,55.6,-3.1,1.7,...,...
,Employment rate 14,51,45.1,46.5,-4.5,1.4,...,...
Prince Edward Island,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6",128.6,131.1,131.3,2.7,0.2,0.2,2.1
,"Labour force (x 1,000) 7",85.6,83.5,86.7,1.1,3.2,3.8,1.3
,"Employment (x 1,000) 8",77.7,71.9,73.6,-4.1,1.7,2.4,-5.3
,"Full-time employment (x 1,000) 9",65.4,62.1,63.1,-2.3,1,1.6,-3.5
,"Part-time employment  (x 1,000) 10",12.4,9.8,10.5,-1.9,0.7,7.1,-15.3
,"Unemployment (x 1,000) 11",7.8,11.6,13.2,5.4,1.6,13.8,69.2
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,9.1,13.9,15.2,6.1,1.3,...,...
,Participation rate 13,66.6,63.7,66,-0.6,2.3,...,...
,Employment rate 14,60.4,54.8,56.1,-4.3,1.3,...,...
Nova Scotia,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6",806.1,815.2,816.1,10,0.9,0.1,1.2
,"Labour force (x 1,000) 7",501.9,467.5,497.7,-4.2,30.2,6.5,-0.8
,"Employment (x 1,000) 8",468.1,404.2,433.1,-35,28.9,7.1,-7.5
,"Full-time employment (x 1,000) 9",378.8,334.2,358.2,-20.6,24,7.2,-5.4
,"Part-time employment  (x 1,000) 10",89.3,69.9,74.9,-14.4,5,7.2,-16.1
,"Unemployment (x 1,000) 11",33.8,63.4,64.6,30.8,1.2,1.9,91.1
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,6.7,13.6,13,6.3,-0.6,...,...
,Participation rate 13,62.3,57.3,61,-1.3,3.7,...,...
,Employment rate 14,58.1,49.6,53.1,-5,3.5,...,...
New Brunswick,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6",630.9,636,636.4,5.5,0.4,0.1,0.9
,"Labour force (x 1,000) 7",389.9,376.3,389.1,-0.8,12.8,3.4,-0.2
,"Employment (x 1,000) 8",359.1,328.2,350.4,-8.7,22.2,6.8,-2.4
,"Full-time employment (x 1,000) 9",305.6,282.9,296.4,-9.2,13.5,4.8,-3
,"Part-time employment  (x 1,000) 10",53.5,45.3,54,0.5,8.7,19.2,0.9
,"Unemployment (x 1,000) 11",30.8,48.2,38.7,7.9,-9.5,-19.7,25.6
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,7.9,12.8,9.9,2,-2.9,...,...
,Participation rate 13,61.8,59.2,61.1,-0.7,1.9,...,...
,Employment rate 14,56.9,51.6,55.1,-1.8,3.5,...,...
Quebec,,Persons,,,,,Percentage change,
