"Labour force characteristics by province, monthly, seasonally adjusted 1 2 3",,,,,,,,
Monthly,,,,,,,,
Table: 14-10-0287-03 (formerly CANSIM 282-0087),,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,
,,,,,,,,
,,Both sexes,,,,,,
,,15 years and over,,,,,,
,,Estimate,,,,,,
,,Seasonally adjusted,,,,,,
Geography 4,Labour force characteristics,Mar-19,Feb-20,Mar-20,March 2019 to March 2020,February 2020 to March 2020,February 2020 to March 2020,March 2019 to March 2020
Canada,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6","30,582.40","31,027.70","31,074.00",491.6,46.3,0.1,1.6
,"Labour force (x 1,000) 7","20,099.50","20,323.20","19,725.70",-373.8,-597.5,-2.9,-1.9
,"Employment (x 1,000) 8","18,943.90","19,189.40","18,178.70",-765.2,"-1,010.70",-5.3,-4
,"Full-time employment (x 1,000) 9","15,358.30","15,608.80","15,134.80",-223.5,-474,-3,-1.5
,"Part-time employment  (x 1,000) 10","3,585.60","3,580.60","3,043.90",-541.7,-536.7,-15,-15.1
,"Unemployment (x 1,000) 11","1,155.60","1,133.80","1,547.00",391.4,413.2,36.4,33.9
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,5.7,5.6,7.8,2.1,2.2,...,...
,Participation rate 13,65.7,65.5,63.5,-2.2,-2,...,...
,Employment rate 14,61.9,61.8,58.5,-3.4,-3.3,...,...
Newfoundland and Labrador,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6",441.6,439.7,439.8,-1.8,0.1,0,-0.4
,"Labour force (x 1,000) 7",260.1,253.5,246.3,-13.8,-7.2,-2.8,-5.3
,"Employment (x 1,000) 8",229.9,223.2,217.4,-12.5,-5.8,-2.6,-5.4
,"Full-time employment (x 1,000) 9",194.1,185.8,186.9,-7.2,1.1,0.6,-3.7
,"Part-time employment  (x 1,000) 10",35.8,37.4,30.4,-5.4,-7,-18.7,-15.1
,"Unemployment (x 1,000) 11",30.2,30.3,28.9,-1.3,-1.4,-4.6,-4.3
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,11.6,12,11.7,0.1,-0.3,...,...
,Participation rate 13,58.9,57.7,56,-2.9,-1.7,...,...
,Employment rate 14,52.1,50.8,49.4,-2.7,-1.4,...,...
Prince Edward Island,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6",127.4,130.4,130.7,3.3,0.3,0.2,2.6
,"Labour force (x 1,000) 7",84.6,87.6,85.9,1.3,-1.7,-1.9,1.5
,"Employment (x 1,000) 8",77.2,80.6,78.5,1.3,-2.1,-2.6,1.7
,"Full-time employment (x 1,000) 9",65.2,68.5,67.3,2.1,-1.2,-1.8,3.2
,"Part-time employment  (x 1,000) 10",11.9,12.2,11.2,-0.7,-1,-8.2,-5.9
,"Unemployment (x 1,000) 11",7.5,7,7.4,-0.1,0.4,5.7,-1.3
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,8.9,8,8.6,-0.3,0.6,...,...
,Participation rate 13,66.4,67.2,65.7,-0.7,-1.5,...,...
,Employment rate 14,60.6,61.8,60.1,-0.5,-1.7,...,...
Nova Scotia,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6",803.8,813.6,814.3,10.5,0.7,0.1,1.3
,"Labour force (x 1,000) 7",497.7,510.9,490.2,-7.5,-20.7,-4.1,-1.5
,"Employment (x 1,000) 8",466.8,471,446.2,-20.6,-24.8,-5.3,-4.4
,"Full-time employment (x 1,000) 9",378.8,380.3,372.6,-6.2,-7.7,-2,-1.6
,"Part-time employment  (x 1,000) 10",88.1,90.7,73.6,-14.5,-17.1,-18.9,-16.5
,"Unemployment (x 1,000) 11",30.9,39.8,44.1,13.2,4.3,10.8,42.7
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,6.2,7.8,9,2.8,1.2,...,...
,Participation rate 13,61.9,62.8,60.2,-1.7,-2.6,...,...
,Employment rate 14,58.1,57.9,54.8,-3.3,-3.1,...,...
New Brunswick,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6",629.2,635,635.3,6.1,0.3,0,1
,"Labour force (x 1,000) 7",389.8,387.9,379.2,-10.6,-8.7,-2.2,-2.7
,"Employment (x 1,000) 8",359.2,361,345.8,-13.4,-15.2,-4.2,-3.7
,"Full-time employment (x 1,000) 9",304.4,310.1,300.1,-4.3,-10,-3.2,-1.4
,"Part-time employment  (x 1,000) 10",54.8,50.9,45.7,-9.1,-5.2,-10.2,-16.6
,"Unemployment (x 1,000) 11",30.6,26.9,33.3,2.7,6.4,23.8,8.8
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,7.9,6.9,8.8,0.9,1.9,...,...
,Participation rate 13,62,61.1,59.7,-2.3,-1.4,...,...
,Employment rate 14,57.1,56.9,54.4,-2.7,-2.5,...,...
