"Labour force characteristics by province, monthly, seasonally adjusted 1 2 3",,,,,,,,
Monthly,,,,,,,,
Table: 14-10-0287-03 (formerly CANSIM 282-0087),,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,
,,,,,,,,
,,Both sexes,,,,,,
,,15 years and over,,,,,,
,,Estimate,,,,,,
,,Seasonally adjusted,,,,,,
Geography 4,Labour force characteristics,May-19,Apr-20,May-20,May 2019 to May 2020,April 2020 to May 2020,April 2020 to May 2020,May 2019 to May 2020
Canada,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6","30,662.40","31,094.70","31,114.30",451.9,19.6,0.1,1.5
,"Labour force (x 1,000) 7","20,142.70","18,603.20","19,093.70","-1,049.00",490.5,2.6,-5.2
,"Employment (x 1,000) 8","19,050.40","16,184.90","16,474.50","-2,575.90",289.6,1.8,-13.5
,"Full-time employment (x 1,000) 9","15,439.50","13,662.80","13,882.20","-1,557.30",219.4,1.6,-10.1
,"Part-time employment  (x 1,000) 10","3,610.90","2,522.00","2,592.30","-1,018.60",70.3,2.8,-28.2
,"Unemployment (x 1,000) 11","1,092.30","2,418.30","2,619.20","1,526.90",200.9,8.3,139.8
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,5.4,13,13.7,8.3,0.7,...,...
,Participation rate 13,65.7,59.8,61.4,-4.3,1.6,...,...
,Employment rate 14,62.1,52.1,52.9,-9.2,0.8,...,...
Newfoundland and Labrador,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6",440.9,439.7,439.4,-1.5,-0.3,-0.1,-0.3
,"Labour force (x 1,000) 7",258.4,224.1,236.9,-21.5,12.8,5.7,-8.3
,"Employment (x 1,000) 8",226.2,188.2,198.2,-28,10,5.3,-12.4
,"Full-time employment (x 1,000) 9",194.5,159.6,168.7,-25.8,9.1,5.7,-13.3
,"Part-time employment  (x 1,000) 10",31.8,28.7,29.5,-2.3,0.8,2.8,-7.2
,"Unemployment (x 1,000) 11",32.2,35.8,38.7,6.5,2.9,8.1,20.2
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,12.5,16,16.3,3.8,0.3,...,...
,Participation rate 13,58.6,51,53.9,-4.7,2.9,...,...
,Employment rate 14,51.3,42.8,45.1,-6.2,2.3,...,...
Prince Edward Island,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6",128.1,130.9,131.1,3,0.2,0.2,2.3
,"Labour force (x 1,000) 7",84.9,77.7,83.5,-1.4,5.8,7.5,-1.6
,"Employment (x 1,000) 8",77.3,69.3,71.9,-5.4,2.6,3.8,-7
,"Full-time employment (x 1,000) 9",65.5,60.2,62.1,-3.4,1.9,3.2,-5.2
,"Part-time employment  (x 1,000) 10",11.7,9.1,9.8,-1.9,0.7,7.7,-16.2
,"Unemployment (x 1,000) 11",7.6,8.4,11.6,4,3.2,38.1,52.6
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,9,10.8,13.9,4.9,3.1,...,...
,Participation rate 13,66.3,59.4,63.7,-2.6,4.3,...,...
,Employment rate 14,60.3,52.9,54.8,-5.5,1.9,...,...
Nova Scotia,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6",805.1,814.8,815.2,10.1,0.4,0,1.3
,"Labour force (x 1,000) 7",502.3,449.6,467.5,-34.8,17.9,4,-6.9
,"Employment (x 1,000) 8",468.8,395.6,404.2,-64.6,8.6,2.2,-13.8
,"Full-time employment (x 1,000) 9",381.1,333.8,334.2,-46.9,0.4,0.1,-12.3
,"Part-time employment  (x 1,000) 10",87.7,61.8,69.9,-17.8,8.1,13.1,-20.3
,"Unemployment (x 1,000) 11",33.5,54,63.4,29.9,9.4,17.4,89.3
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,6.7,12,13.6,6.9,1.6,...,...
,Participation rate 13,62.4,55.2,57.3,-5.1,2.1,...,...
,Employment rate 14,58.2,48.6,49.6,-8.6,1,...,...
New Brunswick,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6",630.3,635.7,636,5.7,0.3,0,0.9
,"Labour force (x 1,000) 7",386.9,358.7,376.3,-10.6,17.6,4.9,-2.7
,"Employment (x 1,000) 8",358.4,311.4,328.2,-30.2,16.8,5.4,-8.4
,"Full-time employment (x 1,000) 9",303.8,272.2,282.9,-20.9,10.7,3.9,-6.9
,"Part-time employment  (x 1,000) 10",54.5,39.3,45.3,-9.2,6,15.3,-16.9
,"Unemployment (x 1,000) 11",28.6,47.2,48.2,19.6,1,2.1,68.5
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,7.4,13.2,12.8,5.4,-0.4,...,...
,Participation rate 13,61.4,56.4,59.2,-2.2,2.8,...,...
,Employment rate 14,56.9,49,51.6,-5.3,2.6,...,...
Quebec,,Persons,,,,,Percentage change,
