"Labour force characteristics by province, monthly, seasonally adjusted 1 2 3",,,,,,,,
Monthly,,,,,,,,
Table: 14-10-0287-03 (formerly CANSIM 282-0087),,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,
,,,,,,,,
,,Both sexes,,,,,,
,,15 years and over,,,,,,
,,Estimate,,,,,,
,,Seasonally adjusted,,,,,,
Geography 4,Labour force characteristics,Nov-18,Oct-19,Nov-19,November 2018 to November 2019,October 2019 to November 2019,October 2019 to November 2019,November 2018 to November 2019
Canada,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6","30,452.30","30,896.00","30,932.80",480.5,36.8,0.1,1.6
,"Labour force (x 1,000) 7","19,938.60","20,281.10","20,289.30",350.7,8.2,0,1.8
,"Employment (x 1,000) 8","18,815.00","19,151.70","19,097.30",282.3,-54.4,-0.3,1.5
,"Full-time employment (x 1,000) 9","15,282.20","15,526.60","15,501.60",219.4,-25,-0.2,1.4
,"Part-time employment  (x 1,000) 10","3,532.80","3,625.10","3,595.60",62.8,-29.5,-0.8,1.8
,"Unemployment (x 1,000) 11","1,123.60","1,129.40","1,192.10",68.5,62.7,5.6,6.1
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,5.6,5.6,5.9,0.3,0.3,...,...
,Participation rate 13,65.5,65.6,65.6,0.1,0,...,...
,Employment rate 14,61.8,62,61.7,-0.1,-0.3,...,...
Newfoundland and Labrador,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6",442.4,439.9,439.9,-2.5,0,0,-0.6
,"Labour force (x 1,000) 7",256.2,254.8,254.7,-1.5,-0.1,0,-0.6
,"Employment (x 1,000) 8",225.3,226.6,225.8,0.5,-0.8,-0.4,0.2
,"Full-time employment (x 1,000) 9",188.7,190.5,188.7,0,-1.8,-0.9,0
,"Part-time employment  (x 1,000) 10",36.6,36.1,37.1,0.5,1,2.8,1.4
,"Unemployment (x 1,000) 11",31,28.3,28.8,-2.2,0.5,1.8,-7.1
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,12.1,11.1,11.3,-0.8,0.2,...,...
,Participation rate 13,57.9,57.9,57.9,0,0,...,...
,Employment rate 14,50.9,51.5,51.3,0.4,-0.2,...,...
Prince Edward Island,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6",126.6,129.8,129.9,3.3,0.1,0.1,2.6
,"Labour force (x 1,000) 7",84,86.1,86,2,-0.1,-0.1,2.4
,"Employment (x 1,000) 8",76.7,79,79.1,2.4,0.1,0.1,3.1
,"Full-time employment (x 1,000) 9",65.7,67.7,67,1.3,-0.7,-1,2
,"Part-time employment  (x 1,000) 10",11,11.3,12.1,1.1,0.8,7.1,10
,"Unemployment (x 1,000) 11",7.3,7.1,6.9,-0.4,-0.2,-2.8,-5.5
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,8.7,8.2,8,-0.7,-0.2,...,...
,Participation rate 13,66.4,66.3,66.2,-0.2,-0.1,...,...
,Employment rate 14,60.6,60.9,60.9,0.3,0,...,...
Nova Scotia,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6",801.7,810.7,811.6,9.9,0.9,0.1,1.2
,"Labour force (x 1,000) 7",493.3,508.3,506.6,13.3,-1.7,-0.3,2.7
,"Employment (x 1,000) 8",459.3,467.1,466.8,7.5,-0.3,-0.1,1.6
,"Full-time employment (x 1,000) 9",378.1,380.7,381.5,3.4,0.8,0.2,0.9
,"Part-time employment  (x 1,000) 10",81.2,86.4,85.3,4.1,-1.1,-1.3,5
,"Unemployment (x 1,000) 11",34,41.1,39.8,5.8,-1.3,-3.2,17.1
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,6.9,8.1,7.9,1,-0.2,...,...
,Participation rate 13,61.5,62.7,62.4,0.9,-0.3,...,...
,Employment rate 14,57.3,57.6,57.5,0.2,-0.1,...,...
New Brunswick,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6",628.3,633.5,634.1,5.8,0.6,0.1,0.9
,"Labour force (x 1,000) 7",386.1,385.8,385,-1.1,-0.8,-0.2,-0.3
,"Employment (x 1,000) 8",355.4,354.7,354.8,-0.6,0.1,0,-0.2
,"Full-time employment (x 1,000) 9",303.7,301.9,302,-1.7,0.1,0,-0.6
,"Part-time employment  (x 1,000) 10",51.8,52.8,52.8,1,0,0,1.9
,"Unemployment (x 1,000) 11",30.7,31.1,30.3,-0.4,-0.8,-2.6,-1.3
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,8,8.1,7.9,-0.1,-0.2,...,...
,Participation rate 13,61.5,60.9,60.7,-0.8,-0.2,...,...
,Employment rate 14,56.6,56,56,-0.6,0,...,...
Quebec,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6","7,011.60","7,071.80","7,077.00",65.4,5.2,0.1,0.9
