"Labour force characteristics by province, monthly, seasonally adjusted 1 2 3",,,,,,,,
Monthly,,,,,,,,
Table: 14-10-0287-03 (formerly CANSIM 282-0087),,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,
,,,,,,,,
,,Both sexes,,,,,,
,,15 years and over,,,,,,
,,Estimate,,,,,,
,,Seasonally adjusted,,,,,,
Geography 4,Labour force characteristics,Oct-18,Sep-19,Oct-19,October 2018 to October 2019,September 2019 to October 2019,September 2019 to October 2019,October 2018 to October 2019
Canada,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6","30,419.60","30,854.90","30,896.00",476.4,41.1,0.1,1.6
,"Labour force (x 1,000) 7","19,861.10","20,263.20","20,281.10",420,17.9,0.1,2.1
,"Employment (x 1,000) 8","18,715.40","19,154.90","19,151.70",436.3,-3.2,0,2.3
,"Full-time employment (x 1,000) 9","15,195.10","15,541.90","15,526.60",331.5,-15.3,-0.1,2.2
,"Part-time employment  (x 1,000) 10","3,520.30","3,613.00","3,625.10",104.8,12.1,0.3,3
,"Unemployment (x 1,000) 11","1,145.70","1,108.40","1,129.40",-16.3,21,1.9,-1.4
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,5.8,5.5,5.6,-0.2,0.1,...,...
,Participation rate 13,65.3,65.7,65.6,0.3,-0.1,...,...
,Employment rate 14,61.5,62.1,62,0.5,-0.1,...,...
Newfoundland and Labrador,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6",442.7,439.9,439.9,-2.8,0,0,-0.6
,"Labour force (x 1,000) 7",257.9,253.5,254.8,-3.1,1.3,0.5,-1.2
,"Employment (x 1,000) 8",225.9,224.7,226.6,0.7,1.9,0.8,0.3
,"Full-time employment (x 1,000) 9",189.3,191.5,190.5,1.2,-1,-0.5,0.6
,"Part-time employment  (x 1,000) 10",36.6,33.2,36.1,-0.5,2.9,8.7,-1.4
,"Unemployment (x 1,000) 11",31.9,28.8,28.3,-3.6,-0.5,-1.7,-11.3
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,12.4,11.4,11.1,-1.3,-0.3,...,...
,Participation rate 13,58.3,57.6,57.9,-0.4,0.3,...,...
,Employment rate 14,51,51.1,51.5,0.5,0.4,...,...
Prince Edward Island,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6",126.4,129.7,129.8,3.4,0.1,0.1,2.7
,"Labour force (x 1,000) 7",83,86.4,86.1,3.1,-0.3,-0.3,3.7
,"Employment (x 1,000) 8",76.9,79,79,2.1,0,0,2.7
,"Full-time employment (x 1,000) 9",65.2,67.3,67.7,2.5,0.4,0.6,3.8
,"Part-time employment  (x 1,000) 10",11.7,11.8,11.3,-0.4,-0.5,-4.2,-3.4
,"Unemployment (x 1,000) 11",6,7.4,7.1,1.1,-0.3,-4.1,18.3
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,7.2,8.6,8.2,1,-0.4,...,...
,Participation rate 13,65.7,66.6,66.3,0.6,-0.3,...,...
,Employment rate 14,60.8,60.9,60.9,0.1,0,...,...
Nova Scotia,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6",801.2,809.8,810.7,9.5,0.9,0.1,1.2
,"Labour force (x 1,000) 7",495.5,503.2,508.3,12.8,5.1,1,2.6
,"Employment (x 1,000) 8",458.6,466.8,467.1,8.5,0.3,0.1,1.9
,"Full-time employment (x 1,000) 9",374.7,381.7,380.7,6,-1,-0.3,1.6
,"Part-time employment  (x 1,000) 10",83.9,85.1,86.4,2.5,1.3,1.5,3
,"Unemployment (x 1,000) 11",36.9,36.4,41.1,4.2,4.7,12.9,11.4
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,7.4,7.2,8.1,0.7,0.9,...,...
,Participation rate 13,61.8,62.1,62.7,0.9,0.6,...,...
,Employment rate 14,57.2,57.6,57.6,0.4,0,...,...
New Brunswick,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6",628.1,633.2,633.5,5.4,0.3,0,0.9
,"Labour force (x 1,000) 7",381.8,387.1,385.8,4,-1.3,-0.3,1
,"Employment (x 1,000) 8",353.6,355.6,354.7,1.1,-0.9,-0.3,0.3
,"Full-time employment (x 1,000) 9",301.8,300.8,301.9,0.1,1.1,0.4,0
,"Part-time employment  (x 1,000) 10",51.9,54.8,52.8,0.9,-2,-3.6,1.7
,"Unemployment (x 1,000) 11",28.1,31.5,31.1,3,-0.4,-1.3,10.7
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,7.4,8.1,8.1,0.7,0,...,...
,Participation rate 13,60.8,61.1,60.9,0.1,-0.2,...,...
,Employment rate 14,56.3,56.2,56,-0.3,-0.2,...,...
Quebec,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6","7,005.70","7,066.00","7,071.80",66.1,5.8,0.1,0.9
