"Labour force characteristics by province, monthly, seasonally adjusted 1 2 3",,,,,,,,
Monthly,,,,,,,,
Table: 14-10-0287-03 (formerly CANSIM 282-0087),,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,
,,,,,,,,
,,Both sexes,,,,,,
,,15 years and over,,,,,,
,,Estimate,,,,,,
,,Seasonally adjusted,,,,,,
Geography 4,Labour force characteristics,Sep-19,Aug-20,Sep-20,September 2019 to September 2020,August 2020 to September 2020,August 2020 to September 2020,September 2019 to September 2020
Canada,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6","30,854.90","31,193.50","31,225.90",371,32.4,0.1,1.2
,"Labour force (x 1,000) 7","20,263.20","20,138.60","20,302.50",39.3,163.9,0.8,0.2
,"Employment (x 1,000) 8","19,154.90","18,091.70","18,469.90",-685,378.2,2.1,-3.6
,"Full-time employment (x 1,000) 9","15,541.90","14,649.30","14,983.30",-558.6,334,2.3,-3.6
,"Part-time employment  (x 1,000) 10","3,613.00","3,442.40","3,486.60",-126.4,44.2,1.3,-3.5
,"Unemployment (x 1,000) 11","1,108.40","2,046.90","1,832.60",724.2,-214.3,-10.5,65.3
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,5.5,10.2,9,3.5,-1.2,...,...
,Participation rate 13,65.7,64.6,65,-0.7,0.4,...,...
,Employment rate 14,62.1,58,59.1,-3,1.1,...,...
Newfoundland and Labrador,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6",439.9,439.3,439.3,-0.6,0,0,-0.1
,"Labour force (x 1,000) 7",253.5,244.6,253.9,0.4,9.3,3.8,0.2
,"Employment (x 1,000) 8",224.7,212.5,216.2,-8.5,3.7,1.7,-3.8
,"Full-time employment (x 1,000) 9",191.5,175.8,181.8,-9.7,6,3.4,-5.1
,"Part-time employment  (x 1,000) 10",33.2,36.7,34.3,1.1,-2.4,-6.5,3.3
,"Unemployment (x 1,000) 11",28.8,32.1,37.7,8.9,5.6,17.4,30.9
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,11.4,13.1,14.8,3.4,1.7,...,...
,Participation rate 13,57.6,55.7,57.8,0.2,2.1,...,...
,Employment rate 14,51.1,48.4,49.2,-1.9,0.8,...,...
Prince Edward Island,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6",129.7,131.7,131.9,2.2,0.2,0.2,1.7
,"Labour force (x 1,000) 7",86.4,85.3,84,-2.4,-1.3,-1.5,-2.8
,"Employment (x 1,000) 8",79,76.3,75.5,-3.5,-0.8,-1,-4.4
,"Full-time employment (x 1,000) 9",67.3,63.7,62.9,-4.4,-0.8,-1.3,-6.5
,"Part-time employment  (x 1,000) 10",11.8,12.6,12.6,0.8,0,0,6.8
,"Unemployment (x 1,000) 11",7.4,9.1,8.5,1.1,-0.6,-6.6,14.9
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,8.6,10.7,10.1,1.5,-0.6,...,...
,Participation rate 13,66.6,64.8,63.7,-2.9,-1.1,...,...
,Employment rate 14,60.9,57.9,57.2,-3.7,-0.7,...,...
Nova Scotia,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6",809.8,817.7,818.7,8.9,1,0.1,1.1
,"Labour force (x 1,000) 7",503.2,494.5,494.5,-8.7,0,0,-1.7
,"Employment (x 1,000) 8",466.8,443.7,455.7,-11.1,12,2.7,-2.4
,"Full-time employment (x 1,000) 9",381.7,355.9,363.8,-17.9,7.9,2.2,-4.7
,"Part-time employment  (x 1,000) 10",85.1,87.8,91.9,6.8,4.1,4.7,8
,"Unemployment (x 1,000) 11",36.4,50.8,38.9,2.5,-11.9,-23.4,6.9
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,7.2,10.3,7.9,0.7,-2.4,...,...
,Participation rate 13,62.1,60.5,60.4,-1.7,-0.1,...,...
,Employment rate 14,57.6,54.3,55.7,-1.9,1.4,...,...
New Brunswick,,Persons,,,,,Percentage change,
,"Population (x 1,000) 5 6",633.2,637,637.5,4.3,0.5,0.1,0.7
,"Labour force (x 1,000) 7",387.1,384.1,390.7,3.6,6.6,1.7,0.9
,"Employment (x 1,000) 8",355.6,347.9,350.1,-5.5,2.2,0.6,-1.5
,"Full-time employment (x 1,000) 9",300.8,293.1,297.2,-3.6,4.1,1.4,-1.2
,"Part-time employment  (x 1,000) 10",54.8,54.7,52.9,-1.9,-1.8,-3.3,-3.5
,"Unemployment (x 1,000) 11",31.5,36.2,40.6,9.1,4.4,12.2,28.9
,,Percentage,,,,,Percentage change,
,Unemployment rate 12,8.1,9.4,10.4,2.3,1,...,...
,Participation rate 13,61.1,60.3,61.3,0.2,1,...,...
,Employment rate 14,56.2,54.6,54.9,-1.3,0.3,...,...
Quebec,,Persons,,,,,Percentage change,
