Activities,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020
Tourism activities,746.1,748.3,752.2,705.4,392.4
Total tourism industries,587.9,590.4,594.4,555.7,296.1
Transportation,85.3,87,88.8,85.4,65.7
Air transportation,54.8,56.4,58.6,57.5,47
Other transportation,30.5,30.6,30.2,27.9,18.7
Accommodation,150.6,151.6,152.5,142.3,65
Food and beverage services,238,237.3,238.2,219,103.6
Other tourism activities,114,114.5,114.9,109,61.8
Recreation and entertainment,69.1,69.6,69.9,66.5,31.4
Travel agencies,44.9,44.9,45,42.5,30.4
Other industries,158.2,157.9,157.8,149.7,96.3
,,,,,
Symbol legend:,,,,,
,,,,,
Footnotes:,,,,,
1,"The tourism employment series are reduced to the following industries: Air transportation, Other transportation, Accommodation, Food and beverage services, Recreation and entertainment, Travel services, and Other (non-tourism) industries.",,,,
2,"Other transportation includes rail, water, bus, taxi and vehicle rental.",,,,
,,,,,
"How to cite: Statistics Canada. Table 36-10-0232-01 Employment generated by tourism (x 1,000)",,,,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610023201,,,,,
DOI: https://doi.org/10.25318/3610023201-eng,,,,,
