Expenditures,Q3 2019,Q4 2019,Q1 2020,Q2 2020
Tourism expenditures,"24,192","24,211","20,760","6,988"
Total tourism commodities,"20,489","20,523","17,565","5,721"
Transportation,"10,071","10,140","8,662","1,947"
Passenger air transport,"5,703","5,785","4,875",247
Passenger rail transport,87,87,52,6
Interurban bus transport,160,147,139,29
Vehicle rental,319,315,300,99
Vehicle repairs and parts,731,732,640,317
Vehicle fuel,"2,869","2,869","2,480","1,200"
Other transportation,202,205,176,49
Accommodation,"3,390","3,420","2,963","1,025"
Food and beverage services,"3,655","3,669","3,099","1,239"
Other tourism commodities,"3,373","3,294","2,841","1,510"
Recreation and entertainment,"1,277","1,283","1,110",371
Travel agency services,"1,045",991,811,229
Pre-trip expenditures,988,957,866,892
Convention fees,63,63,54,18
Total other commodities,"3,703","3,688","3,195","1,267"
,,,,
Symbol legend:,,,,
,,,,
Footnotes:,,,,
1,"Current dollar, seasonally adjusted series are no longer updated.",,,
,,,,
"How to cite: Statistics Canada. Table 36-10-0230-01 Tourism demand in Canada, constant prices (x 1,000,000)",,,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610023001,,,,
DOI: https://doi.org/10.25318/3610023001-eng,,,,
