Activities,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020
Tourism gross domestic product (GDP),"9,950","9,932","9,986","8,525","2,867"
Total tourism industries,"7,280","7,268","7,331","6,206","1,675"
Transportation,"2,480","2,460","2,500","2,034",204
Accommodation,"2,061","2,076","2,094","1,819",586
Food and beverage services,"1,466","1,461","1,467","1,256",503
Other tourism industries,"1,273","1,271","1,270","1,097",382
Other industries,"2,670","2,664","2,655","2,319","1,192"
,,,,,
Symbol legend:,,,,,
,,,,,
Footnotes:,,,,,
1,"Current dollar, seasonally adjusted series are no longer updated.",,,,
,,,,,
"How to cite: Statistics Canada. Table 36-10-0234-01 Tourism gross domestic product, constant prices (x 1,000,000)",,,,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610023401,,,,,
DOI:  https://doi.org/10.25318/3610023401-eng,,,,,
