Activities,Q3 2018,Q4 2018,Q1 2019
Tourism activities,742,742.4,745.2
Total tourism industries,585.6,585.1,587.4
Transportation,86.9,84.2,85.6
Air transportation,54.6,54.1,55.4
Other transportation,32.3,30.1,30.2
Accommodation,149.9,150.5,151.3
Food and beverage services,236.3,237.3,236.7
Other tourism activities,112.5,113.1,113.8
Recreation and entertainment,68.3,69.3,68.6
Travel agencies,44.2,43.8,45.2
Other industries,156.4,157.3,157.8
,,,
Symbol legend:,,,
,,,
Footnotes:,,,
1,"The tourism employment series are reduced to the following industries: Air transportation, Other transportation, Accommodation, Food and beverage services, Recreation and entertainment, Travel services, and Other (non-tourism) industries.",,
2,"Other transportation includes rail, water, bus, taxi and vehicle rental.",,
,,,
"How to cite: Statistics Canada. Table 36-10-0232-01 Employment generated by tourism (x 1,000)",,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610023201,,,
DOI: https://doi.org/10.25318/3610023201-eng,,,
